Hisse Kodu,Hisse Adı,Şehir
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,DENİZLİ
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KOCAELİ
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,KONYA
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,İSTANBUL
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İSTANBUL
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,İSTANBUL
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,İSTANBUL
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,İSTANBUL
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,İSTANBUL
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AKBNK,AKBANK T.A.Ş.,İSTANBUL
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,İSTANBUL
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,ANKARA
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,ANKARA
AKGRT,AKSİGORTA A.Ş.,İSTANBUL
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,YALOVA
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,İSTANBUL
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,ISPARTA
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,İSTANBUL
ALARK,ALARKO HOLDİNG A.Ş.,İSTANBUL
ALBRK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,İSTANBUL
ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,İSTANBUL
ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,İSTANBUL
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ANKARA
ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,İZMİR
ALKIM,ALKİM ALKALİ KİMYA A.Ş.,İSTANBUL
ALKLC,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,İSTANBUL
ALMAD,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,İZMİR
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,İSTANBUL
